"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1188","login validation - empty login - regression","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1732","login validation - valid login","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1469","login validation - empty login - regression","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1890","login validation - invalid login - regression","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1383","login validation - empty login - regression","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1964","login validation - empty login - sanity","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1200","login validation - empty login - regression","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1671","login validation - invalid login - regression","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1352","login validation - empty login - regression","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1188","login validation - invalid login - regression","","2026-04-18","passed","2026-04-18","","","",""
"As a registered user I want to authenticate into the Herokuapp application
    so that I can access protected resources based on valid credentials.","1201","login validation - invalid login - sanity","","2026-04-18","passed","2026-04-18","","","",""
