"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user of the Herokuapp, I want to be able to login to the application.","2230","Failed login with invalid credentials","","2026-05-11","passed","2026-05-11","","Login","",""
"As a user of the Herokuapp, I want to be able to login to the application.","2143","Failed login with invalid credentials","","2026-05-11","passed","2026-05-11","","Login","",""
"As a user of the Herokuapp, I want to be able to login to the application.","2890","Failed login with invalid credentials","","2026-05-11","passed","2026-05-11","","Login","",""
"As a user of the Herokuapp, I want to be able to login to the application.","2720","Failed login with invalid credentials","","2026-05-11","passed","2026-05-11","","Login","",""
"As a user of the Herokuapp, I want to be able to login to the application.","2404","Successful login with valid credentials","","2026-05-11","passed","2026-05-11","","Login","",""
"As a user of the Herokuapp, I want to be able to login to the application.","2229","Failed login with invalid credentials","","2026-05-11","passed","2026-05-11","","Login","",""
"As a user of the Herokuapp, I want to be able to select and deselect the
    Checkboxes on the page.","1522","Validate default state of checkboxes on page load","","2026-05-11","passed","2026-05-11","","Checkboxes","",""
"As a user of the Herokuapp, I want to be able to drag and drop elements on
    the page.","1624","Drag and Drop element A to element B","","2026-05-11","passed","2026-05-11","","DragAndDrop","",""
"As a user of the Herokuapp, I want to be able to login to the application.","3076","Failed login with invalid credentials","","2026-05-11","passed","2026-05-11","","Login","",""
"As a user of the Herokuapp, I want to be able to select and deselect the
    Checkboxes on the page.","1912","The user will select and validate checkbox2","","2026-05-11","passed","2026-05-11","","Checkboxes","",""
"As a user of the Herokuapp, I want to be able to drag and drop elements on
    the page.","1634","Drag and Drop element B to element A","","2026-05-11","passed","2026-05-11","","DragAndDrop","",""
"As a user of the Herokuapp, I want to be able to select and deselect the
    Checkboxes on the page.","1933","The user will deselect and validate checkbox2","","2026-05-11","passed","2026-05-11","","Checkboxes","",""
"As a user of the Herokuapp, I want to be able to select and deselect the
    Checkboxes on the page.","2031","The user will select and validate checkbox1","","2026-05-11","passed","2026-05-11","","Checkboxes","",""
"As a user of the Herokuapp, I want to be able to drag and drop elements on
    the page.","1647","Drag and Drop element B to element A and then back to original position","","2026-05-11","passed","2026-05-11","","DragAndDrop","",""
"As a user of the Herokuapp, I want to be able to select and deselect the
    Checkboxes on the page.","1654","The user will deselect and validate checkbox1","","2026-05-11","passed","2026-05-11","","Checkboxes","",""
